1;Oscar Hernandez;Suite;osquitar@mail.com;16/09/2023;20/09/2023
2;Laura Arboleda;Suite;laura@mail.com;01/01/2023;15/01/2023
3;Maicol Ramirez;Matrimonial;maicol@mail.com;11/10/2023;20/10/2023
4;pepito perez;Individual;pepito@gmail.com;15/10/2023;18/10/2023
5;juanita pelaez;Doble;pelaez@gmail.com;10/10/2023;16/10/2023
6;Nino;Suite;nino@mail.com;16/10/2023;20/10/2023
7;Luisa Martínez;Doble;luisa@email.com;05/10/2023;15/10/2023
8;Javier Rodriguez;Individual;javier@email.com;08/10/2023;16/10/2023
9;María Pérez;Suite;maria@email.com;10/11/2023;20/11/2023
10;Carlos Sánchez;Doble;carlos@email.com;12/07/2023;22/07/2023
11;Ana Gómez;Matrimonial;ana@email.com;14/08/2023;24/08/2023
12;Jesus Maria;Doble;jesus@mail.com;16/12/2024;17/12/2024
13;Messi;Doble;messi@mail.com;20/10/2023;23/10/2023
14;Lina Karol;Individual;lina@mail.com;20/10/2023;25/10/2023
15;Pepe Cuenca;Individual;pepe@mail.com;20/01/2020;21/01/2020
16;Cristiano Catolico;Matrimonial;cristiano@mail.com;27/08/2020;27/08/2021
17;Marlon Piai;Individual;piai@mail.com;24/10/2023;27/10/2023
